Date,Stock Price,Stock Open,Stock High,Stock Low,Stock Volume,Change %,M1 SUPPLY,Iinflation rates for All Items (12 Months Avg. Change),Inflation rates for All Items (Year on Change),real exchange rate open,real exchange rate close,Productivity_Model,Productivity,Currency_Devaluation,Currency_Devaluation
2021-01-04,38930.68,39053.44,39053.44,38881.17,239420000,-0.29,15995932.43,15.04,18.12,0.002621,0.002625,256573729.9,405783799,4.00E-06,4.00E-06
2021-01-03,39931.63,39799.89,39984.05,39799.89,543990000,0.33,16138206.97,14.55,18.17,0.002624,0.002632,250947110.8,422696310.3,8.00E-06,8.00E-06
2021-01-02,42357.9,42412.66,42472.56,42338.85,586930000,-0.13,16484070.12,14.05,17.33,0.002623,0.002623,248085255.3,447290669,0,0
2021-04-01,41147.39,40287.71,41154.33,40284,211880000,2.18,15855542.74,13.62,16.47,0.002623,0.002623,231808034.9,443818820.1,0,0
2020-01-12,35147.62,35048.15,35204.16,35048.15,308080000,0.3,15838395.8,13.25,15.75,0.002623,0.002623,225697140.2,455718881.6,0,0
2020-02-11,30479.39,30527.69,30554.27,30364.15,376110000,-0.17,14819010.85,12.92,14.89,0.002628,0.002621,206282075,436446828,-7.00E-06,-7.00E-06
2020-02-10,26985.77,26831.76,26985.77,26830.59,459790000,0.55,14193844.06,12.66,14.23,0.002625,0.002614,193890042.7,427107321.4,-1.10E-05,-1.10E-05
2020-04-09,25605.64,25534.87,25618.48,25529.56,418160000,0.37,13555672.34,12.44,13.71,0.002625,0.002621,182188965,415117817.8,-4.00E-06,-4.00E-06
2020-03-08,24766.12,24710.93,24776.08,24690.75,186470000,0.29,13133475.59,12.23,13.22,0.002604,0.002635,173750495.8,412393901.5,3.10E-05,3.10E-05
2020-01-07,24594.99,24479.16,24723.26,24479.16,198010000,0.47,12775602.49,12.05,12.82,0.002577,0.002581,166720945.6,411414813.5,4.00E-06,4.00E-06
2020-01-06,25321.29,25267.82,25396.1,25180.37,253130000,0.21,12381367.68,11.9,12.56,0.002774,0.002581,159750474.9,375072482.2,-0.000193,-0.000193
2020-04-05,23089.86,23021.01,23121.74,22940.24,249830000,0.3,12553304.03,11.79,12.4,0.002564,0.002567,160556276.9,415265853.4,3.00E-06,3.00E-06
2020-01-04,21100.54,21309.5,21317.98,20779.13,154350000,-0.94,11659870.47,11.71,12.34,0.002725,0.002725,148196953.7,365401498.6,0,0
2020-02-03,25816.57,26143.02,26170.58,25816.57,325260000,-1.53,11107001.84,11.62,12.26,0.002736,0.002736,140170363.2,349361161.4,0,0
2020-03-02,28533.4,28843.53,28843.53,28389.6,246510000,-1.08,10397772.25,11.54,12.2,0.002766,0.00275,130390150.3,325748418.5,-1.60E-05,-1.60E-05
2020-02-01,26867.79,26845.79,26867.79,26657.32,263200000,0.1,10324564.92,11.46,12.13,0.002731,0.002759,128640477,329887182.5,2.80E-05,2.80E-05
